SSP,Output_Type,Top_Parameter,ST,ST_conf,S1,Interaction
SSP1,Total Cost,econdampct,0.5990110065457163,0.014269153447933518,0.4963483994742209,0.10266260707149538
SSP1,Total Mitigation,tcre,0.6421927927905959,0.010340766301267951,0.6223345184676172,0.01985827432297871
SSP1,Total Removal,tcre,0.5880751837524352,0.011673832616508452,0.5643568359722905,0.0237183477801447
SSP2,Total Cost,econdampct,0.5819066839352686,0.013557160614572244,0.4935058331862769,0.08840085074899168
SSP2,Total Mitigation,costremovlow,0.52036047434772,0.010582166282507525,0.48725662084574517,0.03310385350197487
SSP2,Total Removal,costremovlow,0.48598939940501185,0.010095738478396918,0.4544563467013292,0.031533052703682674
SSP3,Total Cost,econdampct,0.6223254429967522,0.013604238884273033,0.5551927392429239,0.0671327037538283
SSP3,Total Mitigation,costremovlow,0.567399741289013,0.010858779002368119,0.5469507901388194,0.02044895115019363
SSP3,Total Removal,costremovlow,0.5982016290389353,0.011110832442933287,0.5766105844427907,0.021591044596144582
SSP4,Total Cost,econdampct,0.619860353960674,0.01409128106846531,0.5324006285260995,0.08745972543457448
SSP4,Total Mitigation,costremovlow,0.44909406461119333,0.009126519448422223,0.4270264055824077,0.022067659028785658
SSP4,Total Removal,costremovlow,0.47464089894175676,0.009711114175142354,0.45126669074507386,0.0233742081966829
SSP5,Total Cost,discrate,0.547386492236271,0.014506255383444027,0.4519518773797644,0.09543461485650662
SSP5,Total Mitigation,costremovlow,0.6881924403752189,0.024982561269701598,0.45926750637298913,0.22892493400222974
SSP5,Total Removal,costremovlow,0.7279668611957889,0.026181806078362107,0.4930125720467425,0.23495428914904642
