derived_labels,index
costmitigunit,0.0037196320110034417
costmitigunit_costremovunit,0.00016358936287636994
costmitigunit_discrate,0.0014400399337467936
costmitigunit_econdampct,0.00038433650377386587
costremovunit,7.062556413914276e-05
costremovunit_discrate,0.0005323270357766376
costremovunit_econdampct,0.00040380368201500675
discrate,0.8629977927279632
econdampct,0.0021953652413820857
econdampct_discrate,0.0014745073225992864
tcre,0.08196949642286358
tcre_costmitigunit,0.0003952440301483736
tcre_costremovunit,0.00010886245417619266
tcre_discrate,0.032673244742725545
tcre_econdampct,0.0002894982454035216
