derived_labels,index,lower,upper
costmitigunit,0.02185719175568999,0.020597150161242823,0.023077983925982787
costmitigunit_costremovunit,0.00020951005867884506,0.00010810179596473039,0.0003469881135323243
costmitigunit_costremovunit_discrate,0.00030284988254554603,0.00019574780354228351,0.0004363801459997521
costmitigunit_discrate,0.017764576699934084,0.016852149584424457,0.018611879137846392
costremovunit,0.000691826954110567,0.00048201613194034606,0.0009095085773248192
costremovunit_discrate,0.0019866971931180393,0.0016459550545488873,0.0024035763653958517
discrate,0.676157594446478,0.6729737841562379,0.6794141278271993
econdampct,0.003345589148881111,0.00293931294876003,0.003837552898399902
econdampct_discrate,0.0017736540489075717,0.001486802051818878,0.0021156277743971915
tcre,0.14588411266119172,0.1429944278444432,0.1488974955118039
tcre_costmitigunit,0.004585727814363486,0.003971109953610583,0.005205777045855655
tcre_costmitigunit_costremovunit,7.584859550035597e-05,1.3990848096441822e-05,0.00018166930379649677
tcre_costmitigunit_discrate,0.003539814584608155,0.003137789620076597,0.004011890625258242
tcre_costremovunit,0.00016365078127578378,6.511297427702693e-05,0.0002967893135324207
tcre_costremovunit_discrate,0.0002723896612046207,0.0001576446106651773,0.0004287876902539487
tcre_discrate,0.11847917147113471,0.11588477371725997,0.12101801209088751
tcre_econdampct,0.0009274726782170656,0.0006983298445910973,0.001195277993408146
tcre_econdampct_discrate,0.0005502741659652795,0.0003582581293432147,0.0008025066828648185
