ssp,timestamp,output_type,robustness_category,cv,mean,median,std,p5,p95,relative_ci90_pct,skewness,interpretation
SSP1,20251030_134512,totalcost,Sensitive,0.7080395790192398,1504.4489766047045,1240.3029472198,1065.209420051121,268.2403291094376,3701.8339015858937,276.8350732515008,1.1779638123754756,High sensitivity to parameter uncertainty (highly skewed distribution)
SSP1,20251030_134512,totalmitigation,Moderate,0.23512829913272162,502.48165993164145,508.148356916558,118.14765804511349,299.5709291018362,691.8522100446706,77.19817954803506,-0.1331282334275864,Moderate sensitivity to parameter uncertainty
SSP1,20251030_134512,totalremoval,Sensitive,0.33606792563324256,327.2992476558679,325.188524630377,109.99477922102844,151.325128737634,509.8319782026552,110.24584888796898,0.10567460598531954,High sensitivity to parameter uncertainty
SSP2,20251030_233350,totalcost,Sensitive,0.6425566222608006,1148.710141452304,981.740887947897,738.1113084483189,258.254610565314,2646.3995150658466,243.25613141084497,1.1400309313620614,High sensitivity to parameter uncertainty (highly skewed distribution)
SSP2,20251030_233350,totalmitigation,Moderate,0.15599762125412042,1091.9238957843563,1086.69732234468,170.33753033289167,820.3701655448754,1377.5312641374476,51.27104734098638,0.21050763406014875,Moderate sensitivity to parameter uncertainty
SSP2,20251030_233350,totalremoval,Moderate,0.2359016780039298,740.9660241555495,741.841673102085,174.7951284421945,455.766082707624,1025.7177333436,76.8292846440759,-0.006000898343472789,Moderate sensitivity to parameter uncertainty
SSP3,20251031_045317,totalcost,Sensitive,0.576780957806009,893.98932812723,806.391522918056,515.6360209455742,219.6617934505644,1906.8798407086676,209.23062796501583,0.8941571315837842,High sensitivity to parameter uncertainty (moderately skewed)
SSP3,20251031_045317,totalmitigation,Moderate,0.1505103842518739,1249.1200227742938,1252.36983016875,188.00553460446847,931.0610734346798,1550.5431813245934,49.46479010967885,-0.11702045268590527,Moderate sensitivity to parameter uncertainty
SSP3,20251031_045317,totalremoval,Moderate,0.2325736519388937,783.7253522167861,776.72399277849,182.27386728215367,494.5785966603476,1091.0246484612333,76.78996108608467,0.1648508354003914,Moderate sensitivity to parameter uncertainty
SSP4,20251031_094637,totalcost,Sensitive,0.6400744751261801,1075.72275727374,932.7245788172524,688.5426792432763,228.88254719782202,2468.9666139245583,240.16565206926245,1.0506544966394287,High sensitivity to parameter uncertainty (highly skewed distribution)
SSP4,20251031_094637,totalmitigation,Moderate,0.17569950043646188,840.5918280013121,840.832447817585,147.69156425080283,593.7521257700384,1082.678574967276,58.14790455176488,-0.0334543832568111,Moderate sensitivity to parameter uncertainty
SSP4,20251031_094637,totalremoval,Moderate,0.2649131028024844,541.0289326492839,537.7820180833725,143.32565325403817,311.4208725905356,780.8658885779101,87.29280641633436,0.1190494612773854,Moderate sensitivity to parameter uncertainty
SSP5,20251029_091916,totalcost,Sensitive,0.6577439111738165,1744.255506862751,1436.21842749275,1147.2734391703734,447.90012003582876,4042.6795447025447,250.29475711032555,1.4535698249622848,High sensitivity to parameter uncertainty (highly skewed distribution)
SSP5,20251029_091916,totalmitigation,Moderate,0.17152963095383822,1904.0883016030093,1862.5424207202,326.6075636774848,1497.649220144681,2381.0757691247363,47.431217627701365,1.7751621262203203,Moderate sensitivity to parameter uncertainty (highly skewed distribution)
SSP5,20251029_091916,totalremoval,Moderate,0.24347605176586648,1307.3394898973295,1347.557712100515,318.30585731780366,829.4883475524886,1723.4061149337685,66.33613977006443,-1.4098635560577533,Moderate sensitivity to parameter uncertainty (highly skewed distribution)
