ssp,timestamp,output_type,variable,count,missing,mean,median,std,min,q1_p25,q2_p50_median,q3_p75,max,range,iqr,cv,skewness,kurtosis,p5,p10,p90,p95,variance,mad,sem,mode
SSP1,20251030_134512,totalcost,Total Cost,19729,0,1504.4489766047045,1240.3029472198,1065.209420051121,81.9666425912246,711.729408697989,1240.3029472198,2028.40059515716,6204.90752583872,6122.940883247496,1316.6711864591712,0.7080395790192398,1.1779638123754756,1.1423175439268412,268.2403291094376,385.42207583117823,3061.6627741209522,3701.8339015858937,1134671.1085656458,614.5721317849,7.583723004449972,81.9666425912246
SSP1,20251030_134512,totalmitigation,Total Mitigation,19729,0,502.48165993164145,508.148356916558,118.14765804511349,150.396037926615,420.885494205043,508.148356916558,586.025873546343,869.484961249729,719.088923323114,165.14037934129993,0.23512829913272162,-0.1331282334275864,-0.36927779518996573,299.5709291018362,338.85593120867003,651.4132117868584,691.8522100446706,13958.86910154507,81.87916549660298,0.8411483182298704,150.396037926615
SSP1,20251030_134512,totalremoval,Total Removal,19729,0,327.2992476558679,325.188524630377,109.99477922102844,70.7364591207823,243.701404847236,325.188524630377,408.817331327855,658.571407888255,587.8349487674726,165.115926480619,0.33606792563324256,0.10567460598531954,-0.6933982549258655,151.325128737634,180.7916060251432,475.879831777833,509.8319782026552,12098.85145588279,82.68522516921797,0.7831041688571211,70.7364591207823
SSP2,20251030_233350,totalcost,Total Cost,19733,0,1148.710141452304,981.740887947897,738.1113084483189,78.4339925318202,604.954143213606,981.740887947897,1517.52723901341,4858.93527276645,4780.50128023463,912.573095799804,0.6425566222608006,1.1400309313620614,1.207804044580019,258.254610565314,356.7611219704854,2211.4345503263016,2646.3995150658466,544808.3036592895,432.986473172523,5.254426255055496,78.4339925318202
SSP2,20251030_233350,totalmitigation,Total Mitigation,19733,0,1091.9238957843563,1086.69732234468,170.33753033289167,532.01966481256,974.809956237131,1086.69732234468,1202.65021277907,1916.52904987024,1384.50938505768,227.84025654193897,0.15599762125412042,0.21050763406014875,0.21672937049952123,820.3701655448754,878.490610076972,1315.03342197299,1377.5312641374476,29014.874239908793,113.90017503644503,1.2125894581997532,532.01966481256
SSP2,20251030_233350,totalremoval,Total Removal,19733,0,740.9660241555495,741.841673102085,174.7951284421945,144.7734288961,612.352006211822,741.841673102085,868.787226468299,1286.44009410037,1141.66666520427,256.435220256477,0.2359016780039298,-0.006000898343472789,-0.5078032078983248,455.766082707624,507.4186056666842,970.1040901920078,1025.7177333436,30553.33692712328,127.98507827786204,1.2443219628666242,144.7734288961
SSP3,20251031_045317,totalcost,Total Cost,19733,0,893.98932812723,806.391522918056,515.6360209455742,67.1003586751077,507.616009869791,806.391522918056,1177.5240923479,3349.59017342507,3282.4898147499625,669.908082478109,0.576780957806009,0.8941571315837842,0.5922813033468266,219.6617934505644,302.373140553825,1626.4289754367232,1906.8798407086676,265880.50609658455,328.297703666568,3.6706813938462712,67.1003586751077
SSP3,20251031_045317,totalmitigation,Total Mitigation,19733,0,1249.1200227742938,1252.36983016875,188.00553460446847,626.989771678216,1119.3432196607,1252.36983016875,1382.29246936156,1880.70055646308,1253.7107847848638,262.94924970086004,0.1505103842518739,-0.11702045268590527,-0.30228483124775885,931.0610734346798,999.7788959572557,1491.413815073522,1550.5431813245934,35346.08104191199,131.17318697738006,1.3383634769099757,626.989771678216
SSP3,20251031_045317,totalremoval,Total Removal,19733,0,783.7253522167861,776.72399277849,182.27386728215367,292.045636315658,647.804372456726,776.72399277849,914.174800883019,1394.08915976523,1102.0435234495721,266.37042842629296,0.2325736519388937,0.1648508354003914,-0.4969316294541928,494.5785966603476,546.6666189334505,1031.175786307462,1091.0246484612333,33223.76269399217,133.14052932828997,1.2975611982849178,292.045636315658
SSP4,20251031_094637,totalcost,Total Cost,19732,0,1075.72275727374,932.7245788172524,688.5426792432763,69.8136237057262,561.4746210981098,932.7245788172524,1432.73748168025,4103.33773550744,4033.524111801714,871.2628605821403,0.6400744751261801,1.0506544966394287,0.888419160666142,228.88254719782202,320.03334083872994,2066.0416707564664,2468.9666139245583,474091.02113950934,418.99077060246856,4.901684020885017,69.8136237057262
SSP4,20251031_094637,totalmitigation,Total Mitigation,19732,0,840.5918280013121,840.832447817585,147.69156425080283,351.791946734959,737.9483265134386,840.832447817585,943.6930017768868,1323.94111045377,972.149163718811,205.74467526344824,0.17569950043646188,-0.0334543832568111,-0.2487916505794483,593.7521257700384,649.0033614949949,1033.298816829865,1082.678574967276,21812.798150849023,102.87190191997695,1.0514052394011308,351.791946734959
SSP4,20251031_094637,totalremoval,Total Removal,19732,0,541.0289326492839,537.7820180833725,143.32565325403817,171.605015249357,433.8555780391045,537.7820180833725,644.634238724014,1020.1674480279,848.5624327785431,210.77866068490954,0.2649131028024844,0.1190494612773854,-0.5613038040243357,311.4208725905356,351.6160516460088,734.0910186752725,780.8658885779101,20542.242880696784,105.38704618583705,1.0203246443783693,171.605015249357
SSP5,20251029_091916,totalcost,Total Cost,19732,0,1744.255506862751,1436.21842749275,1147.2734391703734,142.728323050075,936.6344536638715,1436.21842749275,2261.56320894688,8657.32502562527,8514.596702575196,1324.9287552830085,0.6577439111738165,1.4535698249622848,2.6325276645931344,447.90012003582876,598.9291780412927,3351.943057790547,4042.6795447025447,1316236.3442258164,603.528819236128,8.167354114559242,142.728323050075
SSP5,20251029_091916,totalmitigation,Total Mitigation,19732,0,1904.0883016030093,1862.5424207202,326.6075636774848,575.495363380246,1705.3395733894326,1862.5424207202,2030.3278338883374,3415.89612590577,2840.400762525524,324.98826049890476,0.17152963095383822,1.7751621262203203,5.121960442032998,1497.649220144681,1571.875411308353,2210.7935187492244,2381.0757691247363,106672.50065134228,162.14348600026995,2.325094905863449,575.495363380246
SSP5,20251029_091916,totalremoval,Total Removal,19732,0,1307.3394898973295,1347.557712100515,318.30585731780366,2.8075697381064e-06,1164.6856561826075,1347.557712100515,1509.2436796395625,2801.53337155571,2801.53336874814,344.55802345695497,0.24347605176586648,-1.4098635560577533,3.4961126001357337,829.4883475524886,982.951055677117,1647.982817478462,1723.4061149337685,101318.61880282196,171.41318200818,2.2659956769615452,2.8075697381064e-06
