ssp,timestamp,output_type,variable,count,missing,robustness_category,cv,relative_iqr_pct,relative_ci90_pct,interpretation,mean,median,std,min,p5,q1_p25,q2_p50_median,q3_p75,p95,max,range,iqr,ci90_width,skewness,kurtosis,symmetry_ratio,variance,mad,sem,mode
SSP1,20251030_134512,totalcost,Total Cost,19729,0,Sensitive,0.708,106.1572,276.8351,High sensitivity to parameter uncertainty (highly skewed distribution),1504.449,1240.3029,1065.2094,81.9666,268.2403,711.7294,1240.3029,2028.4006,3701.8339,6204.9075,6122.9409,1316.6712,3433.5936,1.178,1.1423,2.5323,1134671.1086,614.5721,7.5837,81.9666
SSP1,20251030_134512,totalmitigation,Total Mitigation,19729,0,Moderate,0.2351,32.4985,77.1982,Moderate sensitivity to parameter uncertainty,502.4817,508.1484,118.1477,150.396,299.5709,420.8855,508.1484,586.0259,691.8522,869.485,719.0889,165.1404,392.2813,-0.1331,-0.3693,0.8807,13958.8691,81.8792,0.8411,150.396
SSP1,20251030_134512,totalremoval,Total Removal,19729,0,Sensitive,0.3361,50.7754,110.2458,High sensitivity to parameter uncertainty,327.2992,325.1885,109.9948,70.7365,151.3251,243.7014,325.1885,408.8173,509.832,658.5714,587.8349,165.1159,358.5068,0.1057,-0.6934,1.062,12098.8515,82.6852,0.7831,70.7365
SSP2,20251030_233350,totalcost,Total Cost,19733,0,Sensitive,0.6426,92.9546,243.2561,High sensitivity to parameter uncertainty (highly skewed distribution),1148.7101,981.7409,738.1113,78.434,258.2546,604.9541,981.7409,1517.5272,2646.3995,4858.9353,4780.5013,912.5731,2388.1449,1.14,1.2078,2.3009,544808.3037,432.9865,5.2544,78.434
SSP2,20251030_233350,totalmitigation,Total Mitigation,19733,0,Moderate,0.156,20.9663,51.271,Moderate sensitivity to parameter uncertainty,1091.9239,1086.6973,170.3375,532.0197,820.3702,974.81,1086.6973,1202.6502,1377.5313,1916.529,1384.5094,227.8403,557.1611,0.2105,0.2167,1.092,29014.8742,113.9002,1.2126,532.0197
SSP2,20251030_233350,totalremoval,Total Removal,19733,0,Moderate,0.2359,34.5674,76.8293,Moderate sensitivity to parameter uncertainty,740.966,741.8417,174.7951,144.7734,455.7661,612.352,741.8417,868.7872,1025.7177,1286.4401,1141.6667,256.4352,569.9517,-0.006,-0.5078,0.9923,30553.3369,127.9851,1.2443,144.7734
SSP3,20251031_045317,totalcost,Total Cost,19733,0,Sensitive,0.5768,83.0748,209.2306,High sensitivity to parameter uncertainty (moderately skewed),893.9893,806.3915,515.636,67.1004,219.6618,507.616,806.3915,1177.5241,1906.8798,3349.5902,3282.4898,669.9081,1687.218,0.8942,0.5923,1.8756,265880.5061,328.2977,3.6707,67.1004
SSP3,20251031_045317,totalmitigation,Total Mitigation,19733,0,Moderate,0.1505,20.9961,49.4648,Moderate sensitivity to parameter uncertainty,1249.12,1252.3698,188.0055,626.9898,931.0611,1119.3432,1252.3698,1382.2925,1550.5432,1880.7006,1253.7108,262.9492,619.4821,-0.117,-0.3023,0.928,35346.081,131.1732,1.3384,626.9898
SSP3,20251031_045317,totalremoval,Total Removal,19733,0,Moderate,0.2326,34.2941,76.79,Moderate sensitivity to parameter uncertainty,783.7254,776.724,182.2739,292.0456,494.5786,647.8044,776.724,914.1748,1091.0246,1394.0892,1102.0435,266.3704,596.4461,0.1649,-0.4969,1.114,33223.7627,133.1405,1.2976,292.0456
SSP4,20251031_094637,totalcost,Total Cost,19732,0,Sensitive,0.6401,93.4105,240.1657,High sensitivity to parameter uncertainty (highly skewed distribution),1075.7228,932.7246,688.5427,69.8136,228.8825,561.4746,932.7246,1432.7375,2468.9666,4103.3377,4033.5241,871.2629,2240.0841,1.0507,0.8884,2.1827,474091.0211,418.9908,4.9017,69.8136
SSP4,20251031_094637,totalmitigation,Total Mitigation,19732,0,Moderate,0.1757,24.4692,58.1479,Moderate sensitivity to parameter uncertainty,840.5918,840.8324,147.6916,351.7919,593.7521,737.9483,840.8324,943.693,1082.6786,1323.9411,972.1492,205.7447,488.9264,-0.0335,-0.2488,0.9788,21812.7982,102.8719,1.0514,351.7919
SSP4,20251031_094637,totalremoval,Total Removal,19732,0,Moderate,0.2649,39.1941,87.2928,Moderate sensitivity to parameter uncertainty,541.0289,537.782,143.3257,171.605,311.4209,433.8556,537.782,644.6342,780.8659,1020.1674,848.5624,210.7787,469.445,0.119,-0.5613,1.0739,20542.2429,105.387,1.0203,171.605
SSP5,20251029_091916,totalcost,Total Cost,19732,0,Sensitive,0.6577,92.2512,250.2948,High sensitivity to parameter uncertainty (highly skewed distribution),1744.2555,1436.2184,1147.2734,142.7283,447.9001,936.6345,1436.2184,2261.5632,4042.6795,8657.325,8514.5967,1324.9288,3594.7794,1.4536,2.6325,2.6373,1316236.3442,603.5288,8.1674,142.7283
SSP5,20251029_091916,totalmitigation,Total Mitigation,19732,0,Moderate,0.1715,17.4486,47.4312,Moderate sensitivity to parameter uncertainty (highly skewed distribution),1904.0883,1862.5424,326.6076,575.4954,1497.6492,1705.3396,1862.5424,2030.3278,2381.0758,3415.8961,2840.4008,324.9883,883.4265,1.7752,5.122,1.4211,106672.5007,162.1435,2.3251,575.4954
SSP5,20251029_091916,totalremoval,Total Removal,19732,0,Moderate,0.2435,25.5691,66.3361,Moderate sensitivity to parameter uncertainty (highly skewed distribution),1307.3395,1347.5577,318.3059,0.0,829.4883,1164.6857,1347.5577,1509.2437,1723.4061,2801.5334,2801.5334,344.558,893.9178,-1.4099,3.4961,0.7255,101318.6188,171.4132,2.266,0.0
