SSP,Output,Robustness,CV,Confidence_Level,Reliability,CI_Width_%,CI_Interpretation,Skewness,Distribution,Concern_Level,Recommendation
SSP1,Total Cost,Sensitive,0.7080,LOW,Outcomes highly dependent on parameter values,276.8%,Wide uncertainty range,1.178,Highly skewed distribution - consider median over mean,High,Results require careful interpretation and sensitivity analysis
SSP1,Total Mitigation,Moderate,0.2351,MEDIUM,Outcomes show moderate variability,77.2%,Wide uncertainty range,-0.133,Symmetric distribution,Low to Moderate,Results suitable for planning with appropriate caveats
SSP1,Total Removal,Sensitive,0.3361,LOW,Outcomes highly dependent on parameter values,110.2%,Wide uncertainty range,0.106,Symmetric distribution,High,Results require careful interpretation and sensitivity analysis
SSP2,Total Cost,Sensitive,0.6426,LOW,Outcomes highly dependent on parameter values,243.3%,Wide uncertainty range,1.140,Highly skewed distribution - consider median over mean,High,Results require careful interpretation and sensitivity analysis
SSP2,Total Mitigation,Moderate,0.1560,MEDIUM,Outcomes show moderate variability,51.3%,Moderate uncertainty range,0.211,Symmetric distribution,Low to Moderate,Results suitable for planning with appropriate caveats
SSP2,Total Removal,Moderate,0.2359,MEDIUM,Outcomes show moderate variability,76.8%,Wide uncertainty range,-0.006,Symmetric distribution,Low to Moderate,Results suitable for planning with appropriate caveats
SSP3,Total Cost,Sensitive,0.5768,LOW,Outcomes highly dependent on parameter values,209.2%,Wide uncertainty range,0.894,Moderately skewed - some asymmetry present,High,Results require careful interpretation and sensitivity analysis
SSP3,Total Mitigation,Moderate,0.1505,MEDIUM,Outcomes show moderate variability,49.5%,Moderate uncertainty range,-0.117,Symmetric distribution,Low to Moderate,Results suitable for planning with appropriate caveats
SSP3,Total Removal,Moderate,0.2326,MEDIUM,Outcomes show moderate variability,76.8%,Wide uncertainty range,0.165,Symmetric distribution,Low to Moderate,Results suitable for planning with appropriate caveats
SSP4,Total Cost,Sensitive,0.6401,LOW,Outcomes highly dependent on parameter values,240.2%,Wide uncertainty range,1.051,Highly skewed distribution - consider median over mean,High,Results require careful interpretation and sensitivity analysis
SSP4,Total Mitigation,Moderate,0.1757,MEDIUM,Outcomes show moderate variability,58.1%,Moderate uncertainty range,-0.033,Symmetric distribution,Low to Moderate,Results suitable for planning with appropriate caveats
SSP4,Total Removal,Moderate,0.2649,MEDIUM,Outcomes show moderate variability,87.3%,Wide uncertainty range,0.119,Symmetric distribution,Low to Moderate,Results suitable for planning with appropriate caveats
SSP5,Total Cost,Sensitive,0.6577,LOW,Outcomes highly dependent on parameter values,250.3%,Wide uncertainty range,1.454,Highly skewed distribution - consider median over mean,High,Results require careful interpretation and sensitivity analysis
SSP5,Total Mitigation,Moderate,0.1715,MEDIUM,Outcomes show moderate variability,47.4%,Moderate uncertainty range,1.775,Highly skewed distribution - consider median over mean,Low to Moderate,Results suitable for planning with appropriate caveats
SSP5,Total Removal,Moderate,0.2435,MEDIUM,Outcomes show moderate variability,66.3%,Wide uncertainty range,-1.410,Highly skewed distribution - consider median over mean,Low to Moderate,Results suitable for planning with appropriate caveats
